,track_id,start,duration,confidence
21,0KFAM8DHNyrJq4mcPQzPkR,10.90414,0.49702,0.05
22,0KFAM8DHNyrJq4mcPQzPkR,11.40117,0.49854,0.194
23,0KFAM8DHNyrJq4mcPQzPkR,11.89971,0.49542,0.283
24,0KFAM8DHNyrJq4mcPQzPkR,12.39513,0.48742,0.344
25,0KFAM8DHNyrJq4mcPQzPkR,12.88255,0.48629,0.546
26,0KFAM8DHNyrJq4mcPQzPkR,13.36884,0.48718,0.372
27,0KFAM8DHNyrJq4mcPQzPkR,13.85602,0.49006,0.372
28,0KFAM8DHNyrJq4mcPQzPkR,14.34608,0.49584,0.178
29,0KFAM8DHNyrJq4mcPQzPkR,14.84192,0.49028,0.135
30,0KFAM8DHNyrJq4mcPQzPkR,15.33219,0.48338,0.202
31,0KFAM8DHNyrJq4mcPQzPkR,15.81557,0.48692,0.167
32,0KFAM8DHNyrJq4mcPQzPkR,16.30249,0.4889,0.445
33,0KFAM8DHNyrJq4mcPQzPkR,16.79139,0.48689,0.611
34,0KFAM8DHNyrJq4mcPQzPkR,17.27828,0.4831,0.241
35,0KFAM8DHNyrJq4mcPQzPkR,17.76137,0.47576,0.226
36,0KFAM8DHNyrJq4mcPQzPkR,18.23713,0.47442,0.179
37,0KFAM8DHNyrJq4mcPQzPkR,18.71155,0.48263,0.144
38,0KFAM8DHNyrJq4mcPQzPkR,19.19418,0.48929,0.179
39,0KFAM8DHNyrJq4mcPQzPkR,19.68347,0.49129,0.211
40,0KFAM8DHNyrJq4mcPQzPkR,20.17476,0.49129,0.64
41,0KFAM8DHNyrJq4mcPQzPkR,20.66605,0.48751,0.533
42,0KFAM8DHNyrJq4mcPQzPkR,21.15356,0.48441,0.559
43,0KFAM8DHNyrJq4mcPQzPkR,21.63797,0.48153,0.328
44,0KFAM8DHNyrJq4mcPQzPkR,22.11951,0.47333,0.247
45,0KFAM8DHNyrJq4mcPQzPkR,22.59284,0.46935,0.107
46,0KFAM8DHNyrJq4mcPQzPkR,23.06218,0.4738,0.231
47,0KFAM8DHNyrJq4mcPQzPkR,23.53598,0.48025,0.175
48,0KFAM8DHNyrJq4mcPQzPkR,24.01623,0.49092,0.331
49,0KFAM8DHNyrJq4mcPQzPkR,24.50714,0.49914,0.39
50,0KFAM8DHNyrJq4mcPQzPkR,25.00628,0.50536,0.271
51,0KFAM8DHNyrJq4mcPQzPkR,25.51164,0.51381,0.169
52,0KFAM8DHNyrJq4mcPQzPkR,26.02545,0.51384,0.063
53,0KFAM8DHNyrJq4mcPQzPkR,26.53929,0.50967,0.033
54,0KFAM8DHNyrJq4mcPQzPkR,27.04896,0.51064,0.043
55,0KFAM8DHNyrJq4mcPQzPkR,27.55961,0.50964,0.218
56,0KFAM8DHNyrJq4mcPQzPkR,28.06924,0.50753,0.555
57,0KFAM8DHNyrJq4mcPQzPkR,28.57677,0.50387,0.707
58,0KFAM8DHNyrJq4mcPQzPkR,29.08065,0.4989,0.518
59,0KFAM8DHNyrJq4mcPQzPkR,29.57955,0.49548,0.601
60,0KFAM8DHNyrJq4mcPQzPkR,30.07502,0.49337,0.432
61,0KFAM8DHNyrJq4mcPQzPkR,30.5684,0.49303,0.199
62,0KFAM8DHNyrJq4mcPQzPkR,31.06143,0.49223,0.073
63,0KFAM8DHNyrJq4mcPQzPkR,31.55366,0.49362,0.184
64,0KFAM8DHNyrJq4mcPQzPkR,32.04728,0.49522,0.583
65,0KFAM8DHNyrJq4mcPQzPkR,32.54249,0.49813,0.499
66,0KFAM8DHNyrJq4mcPQzPkR,33.04062,0.50458,0.508
67,0KFAM8DHNyrJq4mcPQzPkR,33.5452,0.5048,0.346
68,0KFAM8DHNyrJq4mcPQzPkR,34.05,0.50074,0.204
69,0KFAM8DHNyrJq4mcPQzPkR,34.55073,0.49996,0.185
70,0KFAM8DHNyrJq4mcPQzPkR,35.05069,0.49825,0.227
71,0KFAM8DHNyrJq4mcPQzPkR,35.54894,0.49626,0.568
72,0KFAM8DHNyrJq4mcPQzPkR,36.0452,0.49421,0.412
73,0KFAM8DHNyrJq4mcPQzPkR,36.53942,0.49276,0.605
74,0KFAM8DHNyrJq4mcPQzPkR,37.03218,0.49613,0.543
75,0KFAM8DHNyrJq4mcPQzPkR,37.5283,0.50102,0.173
76,0KFAM8DHNyrJq4mcPQzPkR,38.02932,0.50036,0.387
77,0KFAM8DHNyrJq4mcPQzPkR,38.52968,0.49882,0.597
78,0KFAM8DHNyrJq4mcPQzPkR,39.0285,0.50286,0.57
79,0KFAM8DHNyrJq4mcPQzPkR,39.53136,0.50408,0.045
80,0KFAM8DHNyrJq4mcPQzPkR,40.03544,0.4976,0.366
81,0KFAM8DHNyrJq4mcPQzPkR,40.53305,0.4872,0.461
82,0KFAM8DHNyrJq4mcPQzPkR,41.02025,0.47398,0.62
83,0KFAM8DHNyrJq4mcPQzPkR,41.49423,0.46479,0.539
84,0KFAM8DHNyrJq4mcPQzPkR,41.95902,0.45898,0.261
85,0KFAM8DHNyrJq4mcPQzPkR,42.418,0.45119,0.194
86,0KFAM8DHNyrJq4mcPQzPkR,42.86919,0.44782,0.198
87,0KFAM8DHNyrJq4mcPQzPkR,43.31701,0.45241,0.076
88,0KFAM8DHNyrJq4mcPQzPkR,43.76942,0.46009,0.727
89,0KFAM8DHNyrJq4mcPQzPkR,44.22951,0.46779,0.276
90,0KFAM8DHNyrJq4mcPQzPkR,44.69731,0.47396,0.312
91,0KFAM8DHNyrJq4mcPQzPkR,45.17127,0.47815,0.295
92,0KFAM8DHNyrJq4mcPQzPkR,45.64942,0.47992,0.232
93,0KFAM8DHNyrJq4mcPQzPkR,46.12934,0.47727,0.225
94,0KFAM8DHNyrJq4mcPQzPkR,46.6066,0.47482,0.149
95,0KFAM8DHNyrJq4mcPQzPkR,47.08142,0.47522,0.308
96,0KFAM8DHNyrJq4mcPQzPkR,47.55664,0.47847,0.665
97,0KFAM8DHNyrJq4mcPQzPkR,48.03511,0.48392,0.173
98,0KFAM8DHNyrJq4mcPQzPkR,48.51903,0.49155,0.379
99,0KFAM8DHNyrJq4mcPQzPkR,49.01058,0.49676,0.286
100,0KFAM8DHNyrJq4mcPQzPkR,49.50734,0.49669,0.182
101,0KFAM8DHNyrJq4mcPQzPkR,50.00404,0.49729,0.105
102,0KFAM8DHNyrJq4mcPQzPkR,50.50132,0.49326,0.035
103,0KFAM8DHNyrJq4mcPQzPkR,50.99458,0.48439,0.435
104,0KFAM8DHNyrJq4mcPQzPkR,51.47898,0.47928,0.136
105,0KFAM8DHNyrJq4mcPQzPkR,51.95825,0.47154,0.456
106,0KFAM8DHNyrJq4mcPQzPkR,52.42979,0.46801,0.322
107,0KFAM8DHNyrJq4mcPQzPkR,52.8978,0.47417,0.432
108,0KFAM8DHNyrJq4mcPQzPkR,53.37198,0.47572,0.307
109,0KFAM8DHNyrJq4mcPQzPkR,53.8477,0.48036,0.19
110,0KFAM8DHNyrJq4mcPQzPkR,54.32805,0.4905,0.09
111,0KFAM8DHNyrJq4mcPQzPkR,54.81855,0.49515,0.098
112,0KFAM8DHNyrJq4mcPQzPkR,55.3137,0.49915,0.287
113,0KFAM8DHNyrJq4mcPQzPkR,55.81285,0.50272,0.258
114,0KFAM8DHNyrJq4mcPQzPkR,56.31557,0.50301,0.583
115,0KFAM8DHNyrJq4mcPQzPkR,56.81858,0.5053,0.55
116,0KFAM8DHNyrJq4mcPQzPkR,57.32387,0.50827,0.404
